Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1786414694,50,,Aggregated,5.000000,0.100000,16000,17000,18000,18000,19000,22000,23000,23000,26000,26000,26000,247,2,16000,15594.578971255078,6929.788599999938,26437.02179999991,644.5951417004048
1786414695,50,,Aggregated,5.000000,0.100000,16000,17000,18000,18000,19000,22000,23000,23000,26000,26000,26000,247,2,16000,15594.578971255078,6929.788599999938,26437.02179999991,644.5951417004048
1786414696,50,,Aggregated,5.000000,0.100000,16000,17000,18000,18000,19000,22000,23000,23000,26000,26000,26000,247,2,16000,15594.578971255078,6929.788599999938,26437.02179999991,644.5951417004048
1786414697,50,,Aggregated,5.000000,0.100000,16000,17000,18000,18000,19000,22000,23000,23000,26000,26000,26000,247,2,16000,15594.578971255078,6929.788599999938,26437.02179999991,644.5951417004048
1786414698,50,,Aggregated,5.000000,0.100000,16000,17000,18000,18000,19000,22000,23000,23000,26000,26000,26000,247,2,16000,15594.578971255078,6929.788599999938,26437.02179999991,644.5951417004048
1786414699,50,,Aggregated,5.000000,0.100000,16000,17000,18000,18000,19000,22000,23000,23000,26000,26000,26000,247,2,16000,15594.578971255078,6929.788599999938,26437.02179999991,644.5951417004048
1786414700,50,,Aggregated,5.000000,0.100000,16000,17000,18000,18000,19000,22000,23000,23000,26000,26000,26000,247,2,16000,15594.578971255078,6929.788599999938,26437.02179999991,644.5951417004048
1786414701,50,,Aggregated,5.000000,0.100000,16000,17000,18000,18000,19000,22000,23000,23000,26000,26000,26000,247,2,16000,15594.578971255078,6929.788599999938,26437.02179999991,644.5951417004048
1786414702,50,,Aggregated,5.000000,0.100000,16000,17000,18000,18000,19000,22000,23000,23000,26000,26000,26000,247,2,16000,15594.578971255078,6929.788599999938,26437.02179999991,644.5951417004048
1786414703,50,,Aggregated,5.000000,0.100000,16000,17000,18000,18000,19000,22000,23000,23000,26000,26000,26000,247,2,16000,15594.578971255078,6929.788599999938,26437.02179999991,644.5951417004048
1786414704,50,,Aggregated,5.000000,0.100000,16000,17000,18000,18000,19000,22000,23000,23000,26000,26000,26000,247,2,16000,15594.578971255078,6929.788599999938,26437.02179999991,644.5951417004048
1786414705,50,,Aggregated,5.000000,0.100000,16000,17000,18000,18000,19000,22000,23000,23000,26000,26000,26000,247,2,16000,15594.578971255078,6929.788599999938,26437.02179999991,644.5951417004048
1786414706,50,,Aggregated,5.000000,0.100000,16000,17000,18000,18000,19000,22000,23000,23000,26000,26000,26000,247,2,16000,15594.578971255078,6929.788599999938,26437.02179999991,644.5951417004048
1786414707,50,,Aggregated,0.000000,0.000000,16000,17000,18000,18000,19000,22000,22000,23000,26000,26000,26000,258,3,16000,15685.644494186061,6929.788599999938,26437.02179999991,642.468992248062
